iter	Passed	Remaining
784	44753	69267
785	44844	69263
786	44905	69212
787	45034	69266
788	45211	69393
789	45267	69333
790	45372	69349
791	45434	69298
792	45543	69319
793	45643	69327
794	45875	69534
795	45962	69521
796	46088	69566
797	46158	69526
798	46259	69534
799	46329	69493
800	46559	69693
801	46661	69701
802	46772	69721
803	46842	69680
804	46915	69645
805	47040	69685
806	47345	69991
807	47409	69940
808	47454	69862
809	47493	69773
810	47531	69684
811	47572	69601
812	47614	69517
813	47654	69431
814	47703	69360
815	47773	69318
816	47817	69238
817	47858	69154
818	47911	69088
819	47974	69037
820	48037	68983
821	48089	68916
822	48142	68850
823	48233	68837
824	48270	68748
825	48308	68660
826	48456	68730
827	48572	68752
828	48610	68664
829	48707	68660
830	48758	68590
831	48813	68526
832	48850	68436
833	48889	68351
834	48976	68332
835	49032	68269
836	49080	68196
837	49137	68135
838	49205	68089
839	49256	68020
840	49297	67938
841	49351	67873
842	49405	67808
843	49516	67820
844	49563	67746
845	49699	67793
846	49828	67830
847	49907	67798
848	49946	67713
849	49980	67620
850	50010	67523
851	50040	67426
852	50071	67329
853	50108	67241
854	50163	67178
855	50199	67089
856	50230	66992
857	50263	66901
858	50337	66862
859	50471	66904
860	50601	66939
861	50679	66906
862	50893	67052
863	50994	67048
864	51074	67016
865	51141	66968
866	51277	67009
867	51323	66932
868	51362	66848
869	51398	66758
870	51438	66674
871	51517	66641
872	51565	66568
873	51606	66485
874	51645	66401
875	51826	66498
876	51922	66486
877	51972	66415
878	52178	66543
879	52337	66611
880	52492	66673
881	52630	66713
882	52767	66750
883	52999	66909
884	53202	67029
885	53309	67027
886	53494	67124
887	53645	67177
888	54894	68602
889	55218	68867
890	55560	69153
891	56593	70297
892	56660	70238
893	56729	70182
894	56798	70125
895	56884	70090
896	57477	70676
897	57567	70644
898	57637	70588
899	57696	70517
900	57816	70522
901	57935	70524
902	57935	70524
903	59234	71895
904	59361	71903
905	59590	72035
906	61744	74488
907	64585	77759
908	66325	79692
909	68140	81708
910	68960	82525
911	69039	82453
912	69119	82382
913	69178	82286
914	69235	82188
915	69327	82132
916	69442	82103
917	69658	82192
918	69983	82410
919	70913	83336
920	71855	84274
921	72382	84721
922	73170	85471
923	73526	85714
924	73840	85907
925	74277	86242
926	75115	87039
927	78233	90471
928	85112	98227
929	87245	100487
930	89271	102614
931	90622	103957
932	91439	104684
933	91535	104584
934	91597	104444
935	91637	104281
936	91681	104121
937	91722	103959
938	91762	103795
939	91804	103635
940	91844	103471
941	91879	103303
942	91916	103137
943	91967	102988
944	92007	102826
945	92042	102658
946	92075	102490
947	92254	102483
948	92338	102371
949	92397	102230
950	92519	102161
951	92630	102078
952	92681	101929
953	92710	101757
954	92744	101590
955	92775	101422
956	92805	101251
957	92887	101138
958	92935	100987
959	92962	100814
960	92989	100641
961	93013	100465
962	93037	100291
963	93061	100115
964	93087	99943
965	93111	99769
966	93135	99595
967	93161	99423
968	93190	99255
969	93268	99139
970	93353	99031
971	93466	98952
972	93515	98807
973	93555	98651
974	93617	98519
975	93657	98364
976	93697	98209
977	93743	98061
978	93881	98009
979	93946	97880
980	93976	97716
981	94014	97560
